Total_Spending,Meat,Catalog,Wines,Income,Store,Web,Fish,Fruits,Sweets,Gold,Children,Parental_Status,NumWebVisitsMonth,Discount_Purchases,cluster
946.0,247,5,317,62204.0,12,4,120.5,46,46,126.5,2,1,3,1,1
1442.0,293,4,797,75693.0,6,11,72.0,81,81,30.0,0,0,4,1,0
62.0,16,0,10,30675.0,3,1,11.0,2,2,21.0,1,1,8,1,2
1674.0,556,6,856,83003.0,8,7,40.0,61,25,122.0,0,0,3,1,0
1853.0,556,6,755,83532.0,4,4,104.0,81,64,126.5,0,0,1,1,0
1538.0,556,5,456,68655.0,11,4,75.0,19,81,38.0,0,0,3,1,0
139.0,38,1,37,41411.0,4,2,11.0,32,3,18.0,0,0,6,1,2
1182.0,45,2,1103,55212.0,11,4,0.0,0,0,34.0,1,1,8,3,1
507.0,68,5,378,59292.0,8,3,19.0,14,14,14.0,1,1,3,2,1
18.0,7,0,1,27190.0,2,1,0.0,6,1,3.0,1,1,8,1,2
940.0,204,9,204,82623.0,4,2,120.5,34,81,126.5,0,0,1,1,0
42.0,9,0,30,44300.0,3,1,0.0,0,0,3.0,2,1,6,2,2
1190.0,379,4,189,84835.0,6,4,111.0,81,81,126.5,0,0,1,1,0
44.0,12,0,15,30372.0,3,2,7.0,0,3,7.0,2,1,7,3,2
16.0,3,0,9,33181.0,2,1,0.0,0,0,4.0,1,1,6,1,2
835.0,255,7,495,71113.0,9,6,11.0,33,33,8.0,1,1,4,4,1
1443.0,455,4,656,71952.0,8,8,52.0,80,81,93.0,1,1,4,2,0
1029.0,514,6,452,69759.0,5,4,13.0,20,30,0.0,0,0,3,3,0
1188.0,410,4,546,72099.0,10,3,119.0,81,0,22.0,0,0,1,1,0
1277.0,217,3,1048,60000.0,5,11,0.0,0,0,12.0,1,1,6,5,1
49.0,14,0,22,38643.0,3,2,0.0,2,1,10.0,2,1,7,2,2
99.0,11,0,78,50737.0,4,2,0.0,0,0,10.0,1,1,6,1,2
1670.0,556,3,561,68462.0,8,3,84.0,64,81,48.0,0,0,1,1,0
900.0,177,3,629,65073.0,5,5,69.0,17,0,8.0,0,0,2,1,0
425.0,69,6,269,46681.0,4,4,15.0,15,19,38.0,2,1,5,2,1
2153.0,556,7,736,78618.0,10,4,120.5,81,81,61.0,0,0,2,1,0
636.0,83,2,512,62187.0,10,6,0.0,0,0,41.0,1,1,4,3,1
57.0,10,1,19,28442.0,4,2,11.0,3,8,6.0,2,1,4,3,2
25.0,6,0,9,37717.0,2,1,4.0,0,1,5.0,1,1,9,1,2
494.0,160,3,247,51479.0,6,6,6.0,8,8,65.0,2,1,7,7,1
693.0,92,2,404,54803.0,9,6,28.0,0,27,126.5,1,1,4,2,1
1348.0,556,10,333,79530.0,11,4,120.5,0,42,29.0,0,0,2,1,0
51.0,20,0,2,31615.0,3,2,6.0,3,11,9.0,1,1,7,2,2
1932.0,549,3,833,72025.0,8,4,120.5,33,81,126.5,0,0,3,1,0
990.0,142,4,789,52614.0,8,2,12.0,0,9,38.0,1,1,8,2,1
30.0,7,0,10,35684.0,3,1,0.0,4,6,3.0,1,1,6,1,2
254.0,45,1,159,48178.0,4,5,6.0,4,2,38.0,2,1,8,6,1
29.0,6,1,7,29548.0,2,1,3.0,1,1,11.0,1,1,4,1,2
1371.0,253,3,977,63810.0,12,4,16.0,12,12,101.0,1,1,8,4,1
73.0,22,0,38,38578.0,3,3,3.0,4,3,3.0,2,1,8,3,2
120.0,27,2,57,46098.0,2,3,0.0,0,0,36.0,2,1,8,4,2
81.0,15,1,3,22585.0,2,1,13.0,9,2,39.0,0,0,9,1,2
37.0,14,0,10,30279.0,3,1,4.0,4,4,1.0,1,1,8,1,2
1377.0,97,5,1043,66426.0,10,3,32.0,24,24,126.5,1,1,6,2,1
51.0,13,0,3,30822.0,3,1,2.0,9,12,12.0,1,1,7,1,2
17.0,5,0,11,33581.0,2,1,0.0,0,0,1.0,2,1,8,1,2
22.0,5,0,3,19986.0,3,0,0.0,6,2,6.0,1,1,7,1,2
324.0,96,1,43,27421.0,6,4,78.0,12,40,55.0,0,0,7,3,1
211.0,90,1,73,35688.0,4,4,12.0,3,1,32.0,3,1,8,7,1
19.0,1,1,12,36143.0,2,0,0.0,0,0,6.0,1,1,3,1,2
41.0,7,2,4,10245.0,2,1,6.0,7,4,13.0,1,1,5,3,2
492.0,53,3,314,43795.0,4,7,4.0,11,3,107.0,1,1,7,3,1
1005.0,142,5,571,63381.0,13,4,33.0,50,50,126.5,1,1,2,4,1
114.0,11,1,70,38823.0,3,2,2.0,0,8,23.0,1,1,6,1,2
1173.0,151,2,866,83664.0,12,2,28.0,21,21,86.0,2,1,5,3,1
1738.0,556,6,594,90300.0,8,5,33.0,81,81,57.0,0,0,1,0,0
222.0,61,1,140,62499.0,6,3,0.0,4,13,4.0,1,1,4,2,2
1127.0,335,4,375,74293.0,6,5,93.0,81,81,81.0,0,0,2,1,0
209.0,63,1,102,51012.0,4,4,2.0,9,9,24.0,0,0,6,1,1
787.0,113,3,554,70777.0,12,5,0.0,35,7,78.0,1,1,3,3,1
1598.0,505,9,919,68682.0,10,4,99.0,0,30,45.0,0,0,2,1,0
186.0,42,1,96,43824.0,4,3,12.0,1,3,32.0,2,1,8,4,2
47.0,16,1,5,15345.0,2,1,3.0,2,2,19.0,1,1,8,2,2
27.0,6,0,2,23442.0,3,1,8.0,0,6,5.0,1,1,7,1,2
96.0,9,2,6,14515.0,3,2,6.0,4,36,35.0,1,1,7,4,2
64.0,25,1,23,31395.0,3,2,0.0,1,8,7.0,2,1,6,4,2
1040.0,125,4,610,75276.0,9,9,120.5,81,42,21.0,0,0,5,1,0
163.0,61,1,67,42373.0,5,2,3.0,5,8,19.0,2,1,5,5,2
343.0,74,1,65,30507.0,4,5,38.0,36,20,110.0,0,0,7,1,1
446.0,26,3,416,55521.0,6,6,0.0,0,0,4.0,3,1,7,9,1
41.0,11,0,23,48006.0,3,1,3.0,0,2,2.0,2,1,6,1,2
70.0,26,0,19,27213.0,4,2,10.0,3,9,3.0,1,1,8,3,2
272.0,80,1,155,65808.0,5,5,13.0,7,7,10.0,2,1,6,3,1
46.0,24,0,14,30351.0,2,3,3.0,0,3,2.0,1,1,9,1,2
490.0,92,1,370,50437.0,8,7,6.0,9,9,4.0,2,1,7,3,1
79.0,11,0,4,23616.0,3,3,3.0,22,7,32.0,1,1,8,2,2
915.0,221,3,407,53858.0,6,4,58.0,53,81,26.0,1,1,4,4,1
1485.0,204,9,1200,66465.0,12,11,38.0,0,29,14.0,1,1,6,3,1
369.0,54,1,85,46923.0,7,5,102.0,44,78,6.0,1,1,7,3,1
1073.0,309,4,583,75072.0,8,5,0.0,34,22,125.0,1,1,3,2,1
1242.0,556,5,483,75865.0,10,3,120.5,0,0,12.0,0,0,1,1,0
78.0,9,1,2,19789.0,3,2,28.0,5,6,28.0,1,1,5,3,2
1378.0,282,7,966,80134.0,11,2,52.0,26,26,26.0,0,0,5,1,0
1474.0,108,9,822,91065.0,9,7,120.5,81,81,114.0,0,0,3,1,0
751.0,100,2,604,49505.0,8,10,19.0,0,0,28.0,2,1,8,9,1
48.0,19,0,19,37401.0,3,2,3.0,3,1,3.0,1,1,7,2,2
45.0,11,0,5,30096.0,3,2,12.0,3,5,9.0,1,1,6,1,2
10.0,2,0,2,18492.0,2,1,2.0,2,1,1.0,1,1,8,1,2
1435.0,103,4,1076,82584.0,8,3,29.0,68,81,68.0,0,0,1,1,0
2119.0,556,10,1225,93027.0,5,7,55.0,42,0,21.0,0,0,2,0,0
20.0,7,0,10,48686.0,2,1,2.0,0,0,1.0,3,1,8,1,2
1795.0,556,7,551,92910.0,13,6,120.5,81,81,33.0,0,0,1,1,0
1188.0,297,5,800,75433.0,10,2,0.0,0,34,57.0,1,1,6,2,1
43.0,11,0,2,10404.0,4,1,10.0,2,6,12.0,1,1,5,2,2
1008.0,189,5,378,61314.0,12,5,97.0,0,81,126.5,1,1,3,2,1
1688.0,349,4,1225,84865.0,9,2,43.0,16,16,16.0,0,0,4,1,0
684.0,235,1,235,42387.0,7,8,19.0,0,4,126.5,1,1,8,5,1
1082.0,181,6,515,67309.0,9,9,120.5,47,81,95.0,2,1,7,15,1
1068.0,400,3,438,75236.0,13,8,12.0,66,38,114.0,1,1,4,1,0
57.0,22,0,25,30015.0,4,1,2.0,0,3,5.0,1,1,5,2,2
46.0,7,0,31,50943.0,3,1,2.0,0,0,6.0,1,1,5,1,2
733.0,271,2,357,67272.0,12,6,28.0,35,28,14.0,1,1,5,3,1
467.0,35,1,400,51529.0,5,9,6.0,4,0,22.0,1,1,8,2,1
122.0,15,1,99,32011.0,4,2,2.0,0,1,5.0,1,1,7,3,2
36.0,5,0,1,7500.0,3,2,4.0,11,6,9.0,1,1,8,2,2
34.0,13,0,5,28691.0,3,1,8.0,4,0,4.0,1,1,8,1,2
156.0,31,1,77,56223.0,5,2,16.0,28,0,4.0,1,1,4,2,2
14.0,2,0,3,18100.0,3,0,4.0,1,3,1.0,0,0,5,1,2
37.0,14,0,10,30279.0,3,1,4.0,4,4,1.0,1,1,8,1,2
34.0,3,0,0,20130.0,3,1,7.0,6,6,12.0,0,0,8,1,2
20.0,1,0,0,23295.0,2,1,2.0,0,12,5.0,0,0,8,1,2
192.0,74,0,76,42618.0,4,5,13.0,14,5,10.0,1,1,8,2,2
1379.0,537,5,398,81246.0,7,4,61.0,81,81,37.0,0,0,1,1,0
48.0,11,0,14,24027.0,3,2,11.0,7,0,5.0,1,1,8,2,2
428.0,82,2,208,55707.0,9,3,30.0,7,66,35.0,1,1,3,2,1
868.0,322,7,430,57959.0,11,4,43.0,16,24,33.0,1,1,3,5,1
1001.0,161,9,656,56796.0,7,8,62.0,38,47,37.0,1,1,7,3,1
59.0,30,0,14,36230.0,4,2,8.0,2,2,3.0,1,1,5,1,2
431.0,106,2,141,70829.0,8,4,72.0,70,19,23.0,2,1,3,2,1
971.0,364,5,507,65991.0,10,9,25.0,19,47,9.0,1,1,7,3,1
348.0,103,1,164,38988.0,6,5,12.0,24,3,42.0,3,1,8,7,1
2059.0,556,7,606,89572.0,9,7,120.5,24,81,64.0,0,0,4,1,0
265.0,72,1,116,42207.0,5,4,3.0,11,17,46.0,1,1,6,4,1
270.0,60,1,143,50300.0,8,2,24.0,15,23,5.0,1,1,2,2,1
1289.0,447,7,398,66664.0,6,5,120.5,81,81,32.0,0,0,3,1,0
893.0,257,2,522,60597.0,8,2,32.0,0,16,66.0,1,1,7,4,1
926.0,253,7,161,70165.0,11,3,120.5,0,81,122.0,0,0,1,1,0
135.0,6,1,112,50520.0,3,3,2.0,0,1,14.0,1,1,6,2,2
1495.0,398,7,483,80124.0,8,3,120.5,81,81,126.5,0,0,1,1,0
120.0,39,0,7,33183.0,3,4,17.0,5,15,37.0,1,1,7,2,2
1288.0,420,8,789,66582.0,9,2,16.0,25,38,0.0,0,0,1,1,0
1743.0,413,6,1225,75261.0,5,5,23.0,17,34,17.0,0,0,2,1,0
15.0,5,0,4,31880.0,2,1,2.0,1,0,3.0,1,1,8,1,2
542.0,127,2,335,53790.0,8,7,28.0,42,5,5.0,2,1,6,3,1
890.0,166,3,639,49269.0,12,7,11.0,8,8,58.0,1,1,7,3,1
1388.0,384,10,563,61456.0,13,6,84.0,76,81,89.0,1,1,4,4,0
17.0,8,0,2,37406.0,2,1,2.0,0,2,3.0,1,1,8,1,2
906.0,125,6,746,56937.0,9,8,11.0,8,8,8.0,1,1,6,7,1
44.0,13,0,22,38415.0,3,1,4.0,1,0,4.0,2,1,7,2,2
25.0,6,1,4,20518.0,2,1,4.0,1,1,9.0,1,1,5,1,2
973.0,193,3,478,62503.0,11,8,110.0,0,75,117.0,1,1,5,4,1
31.0,4,0,20,41644.0,3,1,2.0,3,0,2.0,2,1,3,2,2
518.0,39,1,451,55842.0,8,7,0.0,0,4,24.0,1,1,5,1,1
530.0,39,2,371,62010.0,7,6,6.0,22,0,92.0,1,1,5,4,1
506.0,84,3,281,41124.0,4,7,15.0,7,0,119.0,1,1,8,7,1
70.0,19,1,19,38961.0,2,2,0.0,7,1,24.0,1,1,7,1,2
54.0,13,0,26,37760.0,3,2,2.0,3,10,0.0,1,1,6,1,2
296.0,35,2,138,32233.0,2,6,25.0,15,11,72.0,1,1,9,2,1
266.0,44,2,213,43057.0,5,4,0.0,2,2,5.0,1,1,5,4,2
747.0,100,9,407,83151.0,4,5,120.0,28,74,18.0,0,0,3,1,0
895.0,114,10,483,78825.0,13,5,120.5,74,37,18.0,0,0,3,1,0
1053.0,232,5,738,65104.0,7,3,13.0,0,20,50.0,1,1,7,2,1
735.0,109,2,502,60093.0,10,7,16.0,12,6,90.0,1,1,6,2,1
20.0,5,0,11,14045.0,3,1,2.0,0,1,1.0,1,1,7,1,2
205.0,108,1,24,28457.0,4,4,29.0,1,29,14.0,0,0,8,1,2
2092.0,556,5,1170,78952.0,12,2,99.0,19,76,126.5,1,1,6,2,0
309.0,88,1,185,46310.0,5,6,15.0,2,5,14.0,1,1,8,2,1
1722.0,389,5,983,76005.0,13,3,120.5,20,50,40.0,0,0,6,1,0
900.0,69,6,691,58308.0,3,2,10.0,0,0,126.5,1,1,8,4,1
682.0,131,4,504,55614.0,6,9,8.0,13,0,26.0,0,0,7,1,1
663.0,265,3,317,59432.0,11,5,25.0,25,19,12.0,1,1,5,3,1
43.0,9,0,29,55563.0,3,2,2.0,1,0,2.0,1,1,3,1,2
1816.0,322,9,1225,78642.0,4,4,46.0,0,35,17.0,1,1,6,1,1
976.0,356,7,529,67911.0,11,6,63.0,0,28,0.0,1,1,3,3,1
746.0,218,3,388,65275.0,13,4,91.0,14,14,21.0,0,0,2,1,0
64.0,21,1,13,27203.0,2,1,4.0,2,0,24.0,2,1,8,2,2
32.0,4,0,28,48330.0,3,1,0.0,0,0,0.0,1,1,5,1,2
263.0,21,1,16,24279.0,3,4,20.0,36,62,108.0,0,0,8,1,2
1445.0,140,3,1047,64355.0,12,4,67.0,0,38,126.5,1,1,8,2,1
46.0,7,0,31,50943.0,3,1,2.0,0,0,6.0,1,1,5,1,2
1210.0,239,4,815,53653.0,12,10,28.0,10,10,108.0,0,0,6,2,0
945.0,387,10,225,65665.0,8,5,106.0,81,36,29.0,1,1,3,1,0
1157.0,324,7,493,81217.0,11,3,120.5,70,40,84.0,0,0,1,1,0
137.0,66,1,34,34935.0,4,2,3.0,4,10,20.0,0,0,7,1,2
730.0,65,2,382,61250.0,12,5,60.0,81,26,59.0,1,1,5,6,1
216.0,56,2,127,39665.0,3,4,0.0,1,1,31.0,1,1,7,3,2
943.0,300,4,325,60152.0,12,6,86.0,81,58,91.0,1,1,3,1,0
347.0,68,2,238,48920.0,5,6,8.0,17,10,6.0,2,1,7,3,1
1924.0,408,6,1168,89120.0,7,5,72.0,81,81,55.0,0,0,1,1,0
397.0,55,2,284,44124.0,5,6,0.0,0,6,52.0,1,1,8,4,1
2089.0,556,7,1225,81169.0,9,5,80.0,20,61,27.0,0,0,2,1,0
138.0,46,1,65,36443.0,3,3,4.0,0,3,20.0,2,1,8,4,2
42.0,9,0,11,26095.0,3,1,3.0,7,1,11.0,1,1,7,1,2
777.0,389,5,227,71367.0,7,4,42.0,23,21,75.0,0,0,2,1,0
1902.0,556,3,1035,80184.0,10,6,25.0,81,38,0.0,0,0,3,1,0
52.0,12,0,27,30630.0,3,2,2.0,1,0,10.0,2,1,7,2,2
1651.0,351,4,982,73454.0,6,2,56.0,73,14,126.5,0,0,5,1,0
358.0,64,1,179,42691.0,6,5,38.0,2,17,58.0,0,0,5,1,0
1727.0,216,4,1225,70503.0,9,2,0.0,33,33,66.0,0,0,6,1,0
210.0,64,2,32,25545.0,3,2,16.0,1,12,85.0,1,1,6,3,2
42.0,15,0,8,32880.0,3,1,7.0,4,6,2.0,1,1,8,1,2
1291.0,319,5,881,77863.0,10,4,16.0,38,25,12.0,0,0,2,1,0
442.0,153,4,141,50353.0,6,4,67.0,15,31,35.0,0,0,3,1,0
1895.0,379,8,1000,61839.0,4,4,120.5,81,17,120.0,0,0,8,1,0
411.0,67,1,206,49154.0,8,4,30.0,10,27,71.0,2,1,6,6,1
521.0,83,3,162,47682.0,8,4,97.0,61,57,61.0,1,1,5,4,1
1168.0,260,7,619,72679.0,5,4,120.5,54,54,54.0,1,1,1,1,0
493.0,24,2,456,57954.0,6,8,0.0,4,0,9.0,2,1,7,7,1
260.0,92,2,112,65316.0,5,3,3.0,6,9,38.0,2,1,4,2,1
46.0,22,0,11,28567.0,3,2,2.0,3,2,6.0,1,1,6,2,2
319.0,112,1,172,47352.0,5,6,8.0,12,0,15.0,1,1,7,4,1
96.0,11,1,78,44931.0,3,2,0.0,0,0,7.0,1,1,5,1,2
1062.0,292,3,464,76982.0,4,8,65.0,81,60,30.0,0,0,4,1,0
232.0,32,1,99,57247.0,7,2,37.0,4,54,6.0,1,1,2,2,1
76.0,19,0,19,22944.0,3,3,4.0,3,5,26.0,1,1,7,3,2
54.0,8,0,1,25315.0,3,3,11.0,9,3,22.0,1,1,8,3,2
201.0,83,1,63,43638.0,4,4,7.0,10,19,19.0,1,1,7,2,1
406.0,42,5,252,42710.0,3,4,4.0,3,3,102.0,1,1,6,2,1
1919.0,403,6,1225,84169.0,6,7,0.0,19,19,0.0,0,0,3,1,0
662.0,252,6,198,54058.0,8,4,32.0,18,81,54.0,1,1,3,2,1
41.0,10,0,8,24683.0,4,2,6.0,4,7,6.0,1,1,5,2,2
1600.0,556,6,416,85620.0,4,3,60.0,46,81,46.0,0,0,1,1,0
134.0,43,0,42,47850.0,4,3,20.0,7,12,10.0,1,1,6,1,2
69.0,21,1,14,19514.0,2,3,2.0,3,1,28.0,2,1,8,4,2
21.0,3,0,17,27159.0,3,1,0.0,0,0,1.0,2,1,6,2,2
54.0,10,1,15,39548.0,3,1,3.0,4,4,18.0,2,1,3,2,2
91.0,24,1,6,21474.0,2,3,11.0,16,0,34.0,1,1,7,2,2
526.0,24,2,458,60504.0,8,6,6.0,0,4,34.0,1,1,6,2,1
162.0,47,2,30,22419.0,2,3,19.0,3,21,42.0,0,0,8,1,2
1008.0,520,8,179,81698.0,13,3,111.0,28,81,47.0,0,0,1,1,0
240.0,97,1,90,43462.0,5,4,15.0,17,6,15.0,2,1,8,6,1
795.0,137,2,308,54880.0,11,6,102.0,81,45,118.0,1,1,5,2,1
1772.0,556,6,557,79908.0,7,5,29.0,81,81,111.0,0,0,2,1,0
64.0,13,0,7,15315.0,4,2,15.0,4,8,17.0,0,0,5,2,2
1957.0,287,10,1225,87771.0,4,5,50.0,38,57,33.0,1,1,6,1,0
78.0,12,0,30,33039.0,4,2,8.0,8,8,12.0,1,1,5,1,2
1572.0,556,6,249,81741.0,7,6,58.0,81,81,38.0,0,0,2,0,0
795.0,132,3,465,71499.0,13,8,120.5,25,0,37.0,1,1,4,2,1
889.0,259,3,129,62466.0,12,6,120.5,81,81,83.0,1,1,4,5,1
331.0,81,2,174,48799.0,7,3,28.0,18,6,24.0,1,1,3,3,1
265.0,29,2,189,52157.0,5,3,3.0,2,2,40.0,1,1,4,2,1
1065.0,161,2,747,66565.0,9,4,65.0,10,40,42.0,1,1,8,4,1
11.0,2,0,6,29298.0,2,1,2.0,0,0,1.0,2,1,5,1,2
21.0,3,0,14,47691.0,2,1,0.0,0,0,4.0,1,1,6,1,2
17.0,4,0,12,38200.0,2,1,0.0,0,0,1.0,2,1,7,1,2
369.0,106,1,98,44989.0,5,5,49.0,0,10,106.0,1,1,6,5,1
38.0,5,0,32,38443.0,3,1,0.0,0,0,1.0,2,1,7,2,2
177.0,49,1,51,38593.0,3,4,17.0,12,24,24.0,1,1,8,3,2
279.0,44,1,200,64413.0,5,5,0.0,5,10,20.0,1,1,5,1,1
62.0,25,0,25,36959.0,3,2,6.0,6,0,0.0,1,1,8,2,2
1230.0,144,4,1050,61996.0,8,6,0.0,12,0,24.0,1,1,5,3,1
182.0,22,1,117,51287.0,3,4,13.0,0,0,30.0,2,1,7,3,2
49.0,17,0,9,13260.0,3,3,10.0,4,2,7.0,2,1,8,4,2
75.0,11,0,56,47472.0,4,2,0.0,0,0,8.0,2,1,5,2,2
227.0,46,2,145,54603.0,4,4,17.0,13,2,4.0,2,1,7,6,1
215.0,10,1,203,45207.0,6,3,0.0,0,0,2.0,2,1,6,5,2
444.0,27,1,270,40689.0,5,7,39.0,3,6,99.0,1,1,8,7,1
47.0,16,0,9,47821.0,3,1,6.0,0,6,10.0,2,1,8,1,2
143.0,23,1,37,27450.0,3,2,8.0,12,11,52.0,0,0,7,1,2
55.0,7,0,46,39453.0,3,2,0.0,0,0,2.0,1,1,6,2,2
63.0,13,1,31,26850.0,4,2,7.0,1,2,9.0,2,1,4,4,2
1867.0,530,11,1060,79800.0,5,5,32.0,21,0,126.5,0,0,3,1,0
611.0,188,4,264,61794.0,10,4,54.0,47,47,11.0,1,1,2,2,1
473.0,30,1,399,53863.0,7,7,6.0,4,4,30.0,1,1,7,3,1
55.0,9,1,8,24221.0,3,1,2.0,9,5,22.0,0,0,4,1,2
81.0,35,1,19,39684.0,2,2,6.0,0,4,17.0,1,1,7,2,2
2086.0,556,11,817,92163.0,5,5,106.0,81,81,20.0,0,0,2,0,0
1478.0,556,7,292,69882.0,9,3,120.5,81,81,126.5,0,0,1,1,0
49.0,2,0,12,33178.0,3,1,11.0,6,2,16.0,1,1,4,1,2
382.0,168,4,130,59973.0,7,3,20.0,30,34,0.0,0,0,1,1,0
69.0,16,1,6,17459.0,2,3,3.0,4,10,30.0,1,1,7,3,2
67.0,18,0,16,23910.0,3,2,7.0,12,1,13.0,1,1,7,1,2
30.0,9,0,19,42169.0,3,1,0.0,0,0,2.0,2,1,8,2,2
63.0,15,1,4,26224.0,3,2,13.0,7,9,15.0,1,1,6,3,2
79.0,31,0,31,31089.0,4,3,2.0,3,8,4.0,1,1,8,3,2
42.0,2,0,36,30081.0,3,1,0.0,0,0,4.0,1,1,7,1,2
819.0,135,3,526,62807.0,12,5,10.0,28,21,99.0,1,1,5,3,1
1151.0,519,4,400,72906.0,9,3,71.0,32,75,54.0,0,0,1,1,0
594.0,114,2,410,61467.0,10,5,0.0,16,5,49.0,2,1,5,3,1
129.0,26,1,80,49618.0,3,3,4.0,3,2,14.0,2,1,7,4,2
213.0,46,1,88,21888.0,2,5,2.0,10,3,64.0,1,1,10,4,2
67.0,6,1,55,42429.0,3,1,2.0,0,0,4.0,1,1,5,2,2
28.0,13,0,5,26150.0,3,1,3.0,1,5,1.0,3,1,7,1,2
45.0,5,0,8,30801.0,3,1,15.0,4,2,11.0,1,1,7,2,2
1193.0,556,4,410,81168.0,7,6,120.5,0,22,22.0,0,0,3,1,0
268.0,76,1,101,26877.0,6,3,20.0,13,18,40.0,0,0,6,2,1
266.0,53,1,162,45006.0,7,3,16.0,25,0,10.0,0,0,3,1,1
37.0,1,0,2,18978.0,3,1,4.0,8,7,15.0,1,1,8,1,2
37.0,8,0,25,22574.0,3,2,2.0,0,0,2.0,3,1,7,2,2
882.0,248,3,389,48240.0,13,6,64.0,81,49,41.0,0,0,5,3,0
373.0,87,2,215,45837.0,5,6,17.0,13,17,24.0,2,1,7,5,1
35.0,5,0,27,35791.0,3,1,0.0,0,0,3.0,3,1,8,2,2
107.0,16,0,85,117416.25,1,0,2.0,1,1,2.0,2,1,1,0,2
42.0,10,0,5,54162.0,3,1,6.0,6,5,10.0,2,1,4,1,2
326.0,83,2,179,30522.0,9,1,19.0,8,11,26.0,1,1,2,5,1
404.0,27,1,352,54456.0,7,6,10.0,0,0,15.0,1,1,6,3,1
95.0,12,1,17,31632.0,2,2,11.0,8,15,32.0,0,0,7,1,2
939.0,169,3,625,72298.0,6,4,58.0,35,17,35.0,0,0,1,1,0
33.0,11,0,10,36975.0,3,1,0.0,6,4,2.0,1,1,7,1,2
981.0,323,8,390,72635.0,6,6,104.0,22,35,107.0,0,0,3,1,0
36.0,15,0,10,13624.0,3,2,2.0,2,1,6.0,1,1,6,2,2
1237.0,507,4,215,84196.0,7,8,120.5,63,31,126.5,1,1,3,1,0
1825.0,556,11,1001,70971.0,5,11,93.0,17,81,17.0,1,1,7,7,1
103.0,33,0,19,34487.0,3,3,24.0,18,1,8.0,2,1,9,3,2
191.0,129,1,41,28769.0,4,4,10.0,5,3,3.0,1,1,9,3,2
1586.0,199,3,1181,69084.0,13,7,39.0,81,30,30.0,1,1,8,2,1
963.0,207,4,603,65488.0,6,3,36.0,45,18,54.0,0,0,1,1,0
889.0,259,3,129,62466.0,12,6,120.5,81,81,83.0,1,1,4,5,1
93.0,15,1,10,32218.0,3,2,13.0,24,1,30.0,0,0,7,1,2
1587.0,556,7,514,83917.0,7,6,42.0,22,81,79.0,0,0,3,1,0
16.0,1,0,14,46102.0,2,1,0.0,0,0,1.0,3,1,7,1,2
1375.0,556,11,387,84574.0,11,9,38.0,20,54,126.5,0,0,5,1,0
393.0,69,2,121,56181.0,7,4,8.0,81,44,48.0,1,1,4,1,1
1477.0,279,4,965,63120.0,9,8,54.0,69,41,69.0,1,1,7,5,1
1179.0,250,2,707,73691.0,8,6,85.0,21,43,73.0,1,1,2,2,0
1005.0,142,5,571,63381.0,13,4,33.0,50,50,126.5,1,1,2,4,1
1348.0,556,9,586,76140.0,6,5,17.0,66,0,26.0,0,0,2,1,0
1307.0,102,4,1063,62859.0,6,9,16.0,81,12,25.0,1,1,6,4,1
486.0,27,4,305,45906.0,4,5,4.0,3,3,126.5,1,1,5,2,1
2252.0,556,2,1200,77632.0,6,4,0.0,81,42,126.5,0,0,2,1,0
235.0,40,1,163,46463.0,6,3,8.0,2,11,11.0,2,1,6,7,1
1724.0,104,8,1009,105471.0,13,9,120.5,81,21,126.5,0,0,3,0,0
235.0,73,1,125,55282.0,6,3,8.0,6,4,19.0,1,1,4,1,2
1092.0,152,6,721,78710.0,12,7,119.0,0,50,50.0,1,1,4,3,1
599.0,62,1,315,66886.0,7,7,41.0,4,31,126.5,1,1,5,2,1
2008.0,556,6,1000,98777.0,9,4,120.5,19,81,38.0,0,0,1,0,0
48.0,17,0,16,29103.0,3,1,6.0,0,3,6.0,1,1,9,2,2
1174.0,217,6,757,67445.0,12,9,29.0,80,80,11.0,1,1,6,5,1
67.0,25,1,30,50616.0,4,1,0.0,2,1,9.0,1,1,2,1,2
365.0,100,1,219,49431.0,5,7,26.0,3,0,17.0,1,1,8,2,1
6.0,1,0,1,117416.25,0,0,1.0,1,1,1.0,0,0,0,0,2
165.0,28,1,111,61278.0,4,3,2.0,3,6,15.0,1,1,6,2,2
210.0,52,1,45,26490.0,5,3,21.0,47,20,25.0,0,0,6,2,1
1095.0,420,3,410,73059.0,13,9,0.0,81,81,71.0,1,1,4,1,1
223.0,39,2,100,46734.0,3,3,6.0,1,1,76.0,3,1,6,4,1
597.0,65,2,509,56253.0,9,7,7.0,0,11,5.0,1,1,6,4,1
22.0,5,0,3,19986.0,3,0,0.0,6,2,6.0,1,1,7,1,2
1064.0,213,4,445,58330.0,13,6,104.0,53,81,126.5,1,1,4,1,0
74.0,11,0,2,25965.0,3,2,41.0,2,7,11.0,0,0,8,1,2
26.0,11,0,4,14661.0,3,1,6.0,1,2,2.0,0,0,6,1,2
60.0,7,1,6,18690.0,2,1,23.0,1,4,19.0,0,0,8,1,2
20.0,3,0,14,45068.0,2,1,0.0,0,0,3.0,1,1,7,1,2
59.0,11,0,1,21063.0,3,2,19.0,10,3,15.0,1,1,6,2,2
34.0,6,0,26,29187.0,3,1,0.0,0,0,2.0,1,1,8,1,2
198.0,37,1,111,54690.0,5,3,7.0,16,9,18.0,2,1,3,3,1
1048.0,428,8,418,59304.0,10,7,80.0,61,51,10.0,1,1,5,3,1
